,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
27,Male,50.5,-1.8504685,15.581764,0.07230608,13.801823,13.993674,14.304534,14.870929,15.581764,16.398891,16.890892,17.24899,17.821886,18.224306
28,Male,51.5,-1.9235519,15.56025,0.07256064,13.784387,13.975095,14.28444,14.849213,15.56025,16.380972,16.87701,17.238989,17.819826,18.229153
29,Male,52.5,-1.9992204,15.539875,0.07284384,13.767626,13.957215,14.265097,14.828377,15.539875,16.364681,16.865194,17.231451,17.821035,18.237986
30,Male,53.5,-2.0767071,15.52065,0.07315432,13.751522,13.940029,14.24651,14.808437,15.52065,16.350008,16.855404,17.22632,17.825436,18.250715
31,Male,54.5,-2.155348,15.502584,0.073490664,13.736064,13.923532,14.2286825,14.789409,15.502584,16.336935,16.847605,17.223543,17.832947,18.26725
32,Male,55.5,-2.2344387,15.48569,0.073851675,13.721233,13.907713,14.211619,14.771303,15.48569,16.325449,16.84176,17.223064,17.84349,18.287497
33,Male,56.5,-2.3133218,15.469977,0.07423624,13.707016,13.892567,14.195322,14.754135,15.469977,16.31554,16.837837,17.224834,17.856985,18.311363
34,Male,57.5,-2.3913813,15.455457,0.07464337,13.6933975,13.878085,14.179791,14.737916,15.455457,16.3072,16.835804,17.228804,17.873354,18.338753
35,Male,58.5,-2.4680326,15.44214,0.075072266,13.680363,13.86426,14.165029,14.722655,15.44214,16.300415,16.835632,17.234924,17.892517,18.369572
36,Male,59.5,-2.5427816,15.430032,0.0755221,13.6679,13.851083,14.151032,14.70836,15.430032,16.29518,16.837294,17.24315,17.914398,18.403727
37,Male,60.5,-2.615166,15.419142,0.07599225,13.655997,13.838548,14.137803,14.695038,15.419142,16.291485,16.84076,17.253439,17.938925,18.44112
38,Male,61.5,-2.6847894,15.409473,0.076482125,13.644644,13.826648,14.125337,14.682693,15.409473,16.28932,16.846003,17.265745,17.96602,18.481659
39,Male,62.5,-2.751317,15.4010315,0.07699123,13.633831,13.815375,14.113631,14.671328,15.4010315,16.288675,16.853003,17.28003,17.995615,18.525246
40,Male,63.5,-2.8144596,15.393818,0.07751915,13.623549,13.804724,14.102684,14.660944,15.393818,16.289547,16.86173,17.29625,18.027636,18.571789
41,Male,64.5,-2.8740249,15.387831,0.07806539,13.613794,13.79469,14.092493,14.651542,15.387831,16.29192,16.872166,17.31437,18.062014,18.621195
42,Male,65.5,-2.9298406,15.383069,0.07862959,13.604561,13.785269,14.083054,14.643118,15.383069,16.295784,16.884281,17.33435,18.098682,18.673374
43,Male,66.5,-2.9817967,15.37953,0.07921137,13.595845,13.776456,14.074362,14.635672,15.37953,16.301128,16.898054,17.356157,18.137577,18.728233
44,Male,67.5,-3.0298314,15.377206,0.079810336,13.587644,13.7682495,14.066415,14.629196,15.377206,16.307938,16.913464,17.379751,18.178633,18.785686
